material,IP,EA
BPAPF@CN6-CP_0.26,5.938922969689016,5.639514053670579
TPD@F4TCNQ_0.07,5.936443589545323,4.5629096450637725
NPB@TCNQ_0.07,5.9447526489810745,4.29938998048024
MeO-TPD@F4TCNQ_0.07,5.685146975827362,4.725137624878461
BFDPB@CN6-CP_0.26,5.937794459644317,5.6739690366665325
TCTA@CN6-CP_0.26,6.188172631685162,5.566037513634928
NPB@CN6-CP_0.26,5.943274906652799,5.542257212159076
TCTA@F6TCNNQ_0.11,6.2000941051703355,4.94543423203989
CBP@CN6-CP_0.2,6.539100318846572,5.5874741940062
m-MTDATA@F4TCNQ_0.07,5.541106943399816,4.5835094584813625
