material,first_rdf_peak,VC_mean
BFDPB@CN6-CP_0.26,4.106583072100313,-0.7662510349382501
TPD@F4TCNQ_0.07,4.169278996865203,-0.8032264935677771
NPB@CN6-CP_0.26,4.294670846394984,-0.8149501730822761
CBP@CN6-CP_0.2,4.106583072100313,-0.7969678610975495
TCTA@F6TCNNQ_0.11,5.485893416927899,-0.6744665507338543
TCTA@CN6-CP_0.26,4.608150470219435,-0.860764021339949
BPAPF@CN6-CP_0.26,5.297805642633229,-0.7148607338530001
MeO-TPD@F4TCNQ_0.07,4.482758620689655,-0.7815382091217774
m-MTDATA@F4TCNQ_0.07,4.984326018808777,-0.7545446354944634

