material,fraction,ionization,IP,EA
BPAPF@CN6-CP_0.26,0.26,0.5885067412166074,5.909043569691717,5.696984353668965
TPD@F4TCNQ_0.07,0.07,0.12321124277244257,5.791700689548978,4.865868645063658
NPB@TCNQ_0.07,0.07,1.0221034089705811e-05,5.798994848983847,4.434670380481887
MeO-TPD@F4TCNQ_0.07,0.07,0.6743664345478249,5.581152275831979,5.028096624878347
BFDPB@CN6-CP_0.26,0.26,0.6387883105646509,5.841583459640639,5.731439336664918
TCTA@CN6-CP_0.26,0.26,0.5420148179884955,6.055345231688121,5.623507813633314
NPB@CN6-CP_0.26,0.26,0.6190022343979964,5.7975171066555715,5.599727512157462
TCTA@F6TCNNQ_0.11,0.11,0.02712279180496934,6.067266705173295,5.067989532043914
CBP@CN6-CP_0.2,0.2,0.3296486265391338,6.47216911885112,5.644944494004585
m-MTDATA@F4TCNQ_0.07,0.07,0.7444513604577473,5.334681343398577,4.886468458481248
